Source,Target,,,
8,89,1,0,0
8,76,1,0,0
8,29,1,0,0
1,2,1,0,0
2,101,1,0,0
90,91,1,0,0
84,85,1,0,0
70,71,1,0,0
100,249,1,0,0
100,281,1,0,0
100,305,1,0,0
100,293,1,0,0
100,271,1,0,0
100,260,1,0,0
100,239,1,0,0
100,219,1,0,0
100,208,1,0,0
100,191,1,0,0
100,169,1,0,0
100,159,1,0,0
100,138,1,0,0
100,119,1,0,0
100,101,1,0,0
63,64,1,0,0
20,68,1,0,0
20,27,1,0,0
132,107,1,0,0
132,133,1,0,0
138,140,1,0,0
142,143,1,0,0
29,31,1,0,0
143,144,1,0,0
148,150,1,0,0
155,158,1,0,0
34,36,1,0,0
59,60,1,0,0
39,40,1,0,0
40,42,1,0,0
44,59,1,0,0
44,60,1,0,0
48,49,1,0,0
47,50,1,0,0
55,56,1,0,0
54,56,1,0,0
58,59,1,0,0
60,61,1,0,0
61,68,1,0,0
61,27,1,0,0
62,28,1,0,0
62,63,1,0,0
31,32,1,0,0
107,132,1,0,0
107,126,1,0,0
107,113,1,0,0
75,82,1,0,0
69,21,1,0,0
69,70,1,0,0
76,77,1,0,0
77,78,1,0,0
78,80,1,0,0
207,233,1,0,0
207,227,1,0,0
207,213,1,0,0
14,83,1,0,0
14,77,1,0,0
14,39,1,0,0
83,14,1,0,0
83,84,1,0,0
68,75,1,0,0
68,20,1,0,0
89,8,1,0,0
89,90,1,0,0
306,307,1,0,0
101,108,1,0,0
101,148,1,0,0
101,179,1,0,0
133,134,1,0,0
108,110,1,0,0
115,116,1,0,0
114,116,1,0,0
118,131,1,0,0
119,121,1,0,0
128,129,1,0,0
127,129,1,0,0
158,168,1,0,0
159,161,1,0,0
164,165,1,0,0
166,167,1,0,0
167,168,1,0,0
170,171,1,0,0
169,171,1,0,0
180,182,1,0,0
173,174,1,0,0
174,175,1,0,0
179,181,1,0,0
184,185,1,0,0
192,194,1,0,0
187,190,1,0,0
190,201,1,0,0
191,193,1,0,0
196,197,1,0,0
198,199,1,0,0
200,201,1,0,0
209,211,1,0,0
234,235,1,0,0
208,210,1,0,0
213,215,1,0,0
215,216,1,0,0
214,216,1,0,0
220,222,1,0,0
218,232,1,0,0
219,221,1,0,0
224,225,1,0,0
227,229,1,0,0
229,230,1,0,0
228,230,1,0,0
240,241,1,0,0
21,69,1,0,0
21,45,1,0,0
21,34,1,0,0
233,207,1,0,0
233,234,1,0,0
239,241,1,0,0
250,252,1,0,0
243,244,1,0,0
244,245,1,0,0
249,251,1,0,0
254,255,1,0,0
261,263,1,0,0
264,265,1,0,0
256,259,1,0,0
259,270,1,0,0
260,262,1,0,0
265,266,1,0,0
268,269,1,0,0
269,270,1,0,0
272,273,1,0,0
271,273,1,0,0
282,284,1,0,0
275,276,1,0,0
276,277,1,0,0
281,283,1,0,0
286,287,1,0,0
294,296,1,0,0
297,298,1,0,0
289,292,1,0,0
292,304,1,0,0
293,295,1,0,0
298,299,1,0,0
301,302,1,0,0
303,304,1,0,0
28,62,1,0,0
28,52,1,0,0
28,39,1,0,0
305,100,1,0,0
305,306,1,0,0
49,50,1,0,0
42,43,1,0,0
37,38,1,0,0
36,37,1,0,0
32,33,1,0,0
30,32,1,0,0
102,103,1,0,0
33,35,1,0,0
35,37,1,0,0
38,41,1,0,0
41,42,1,0,0
43,44,1,0,0
45,46,1,0,0
46,48,1,0,0
50,51,1,0,0
51,54,1,0,0
52,53,1,0,0
56,57,1,0,0
53,55,1,0,0
57,58,1,0,0
79,80,1,0,0
80,81,1,0,0
81,82,1,0,0
109,111,1,0,0
110,111,1,0,0
111,112,1,0,0
112,114,1,0,0
113,115,1,0,0
116,117,1,0,0
117,118,1,0,0
120,122,1,0,0
121,122,1,0,0
122,123,1,0,0
123,124,1,0,0
124,125,1,0,0
125,127,1,0,0
126,128,1,0,0
129,130,1,0,0
130,131,1,0,0
139,140,1,0,0
140,141,1,0,0
141,142,1,0,0
149,151,1,0,0
150,151,1,0,0
151,152,1,0,0
152,153,1,0,0
153,154,1,0,0
154,155,1,0,0
160,162,1,0,0
161,162,1,0,0
162,163,1,0,0
163,164,1,0,0
165,166,1,0,0
171,172,1,0,0
172,173,1,0,0
181,182,1,0,0
182,183,1,0,0
183,184,1,0,0
185,186,1,0,0
186,187,1,0,0
193,194,1,0,0
194,195,1,0,0
195,196,1,0,0
197,198,1,0,0
199,200,1,0,0
210,211,1,0,0
211,212,1,0,0
212,214,1,0,0
216,217,1,0,0
217,218,1,0,0
221,222,1,0,0
222,223,1,0,0
223,224,1,0,0
225,226,1,0,0
226,228,1,0,0
230,231,1,0,0
231,232,1,0,0
241,242,1,0,0
242,243,1,0,0
251,252,1,0,0
252,253,1,0,0
253,254,1,0,0
255,256,1,0,0
262,263,1,0,0
263,264,1,0,0
266,267,1,0,0
267,268,1,0,0
273,274,1,0,0
274,275,1,0,0
283,284,1,0,0
284,285,1,0,0
285,286,1,0,0
287,288,1,0,0
288,289,1,0,0
295,296,1,0,0
296,297,1,0,0
299,300,1,0,0
300,301,1,0,0
302,303,1,0,0
22,23,1,0,0
95,96,1,0,0
202,203,1,0,0
15,16,1,0,0
9,10,1,0,0
3,4,1,0,0
27,61,1,0,0
0,5,0,1,0
0,94,0,1,0
5,7,0,1,0
7,11,0,1,0
7,88,0,1,0
11,13,0,1,0
13,17,0,1,0
13,74,0,1,0
17,19,0,1,0
19,24,0,1,0
19,67,0,1,0
24,26,0,1,0
26,26,0,1,0
26,65,0,1,0
65,67,0,1,0
67,19,0,1,0
67,72,0,1,0
72,74,0,1,0
74,13,0,1,0
74,86,0,1,0
86,88,0,1,0
88,7,0,1,0
88,92,0,1,0
92,94,0,1,0
94,97,0,1,0
94,310,0,1,0
97,99,0,1,0
99,104,0,1,0
99,137,0,1,0
104,106,0,1,0
106,106,0,1,0
106,135,0,1,0
135,137,0,1,0
