id,Terminal,Unary,Binary,Logic,Vector,Aggregate,Memory,Cast,Select,Misc,BasicBlock,Loop
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1,1
15,0,0,0,0,0,0,0,0,1,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,1
18,1,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1,1
20,0,0,0,0,0,0,0,0,1,0,0,0
21,0,0,1,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,1,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0
35,0,0,0,0,0,0,0,1,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,0
37,0,0,1,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,1,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,1,1
46,1,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,1,1
48,1,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,1,1
50,0,0,1,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,1,0,0,0
52,1,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,1,0
54,1,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,1,0
56,1,0,0,0,0,0,0,0,0,0,0,0
